n;preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area;cobertura
4053;220000;Las Acacias;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;487;0
4103;220000;PORTO;Casa;Endereco Nao Informado;Pelotas RS;3;0;1;90;0
4108;220000;CENTRO;Casa;Tiradentes;Pelotas RS;3;1;0;100;0
4226;220000;TRES VENDAS;Casa de Condominio;Rua Olegario Mariano;Pelotas RS;2;2;1;67;0
4237;220000;CENTRO;Terreno Padrao;;Pelotas RS;;0;0;;0
4303;220000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;1;0;0;70;0
4397;220000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;3;0;0;75;0
4560;220000;FRAGATA;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;51;0
4402;220000;TRES VENDAS;Casa;;Pelotas RS;3;1;3;212;0
4668;220000;AREAL;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;55;0
4892;220000;CENTRO;Apartamento;Avenida Juscelino Kubitschek Oliveira;Pelotas RS;2;0;1;70;0
4695;220000;CENTRO;Terreno Padrao;Rua Santa Cruz;Pelotas RS;;0;0;;0
4709;220000;PORTO;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;43;0
4758;220000;CENTRO;Casa;Rua Santa Cruz;Pelotas RS;2;0;1;90;0
4952;220000;CENTRO;Apartamento;Rua Alm Barroso;Pelotas RS;1;1;1;36;0
837;218000;CENTRO;Apartamento;Rua Maestro Mendanha;Pelotas RS;2;0;1;55;0
5000;220000;TRES VENDAS;Casa;Rua Nove Lot Res XV de Julho;Pelotas RS;2;0;1;48;0
5105;220000;RECANTO DE PORTUGAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;385;0
5116;220000;LARANJAL;Terreno Padrao;Adolfo Fetter;Pelotas RS;;0;0;;0
5235;220000;PORTO;Casa;Endereco Nao Informado;Pelotas RS;3;1;7;100;0
5256;220000;LARANJAL;Terreno Padrao;Adolfo Fetter;Pelotas RS;;0;0;;0
5275;220000;LARANJAL;Terreno Padrao;Avenida Adolfo Fetter;Pelotas RS;;0;0;;0
5283;220000;LARANJAL;Terreno Padrao;Adolfo Fetter;Pelotas RS;;0;0;;0
5508;220000;LARANJAL;Terreno Padrao;Adolfo Fetter;Pelotas RS;;0;0;;0
5525;220000;LARANJAL;Terreno Padrao;Adolfo Fetter;Pelotas RS;;0;0;;0
230;218000;AREAL;Casa;Rua Pracinha Hortencio Rosa;Pelotas RS;1;0;4;150;0
591;218000;TRES VENDAS;Casa;Santiago Dantas;Pelotas RS;2;0;0;50;0
2264;218000;CENTRO;Apartamento;Maestro Mendanha;Pelotas RS;2;0;1;;0
2594;218000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;50;0
3956;218000;CENTRO;Apartamento;Rua Maestro Mendanha;Pelotas RS;2;0;1;55;0
3930;218000;TRES VENDAS;Casa de Condominio;;Pelotas RS;2;2;1;55;0
4290;218000;CENTRO;Apartamento;Maestro Mendanha;Pelotas RS;2;0;1;;0
1505;215000;TRES VENDAS;Apartamento;Rua Nilo Pecanha;Pelotas RS;2;0;1;56;0
5502;218000;TRES VENDAS;Casa;Olegario Mariano;Pelotas RS;2;2;1;57;0
1300;217300;TRES VENDAS;Casa de Condominio;Rua Joao Jacob Bainy;Pelotas RS;2;2;1;65;0
104;215000;LARANJAL;Terreno Padrao;;Pelotas RS;;0;0;;0
389;215000;LARANJAL;Terreno Padrao;Adolfo Fetter;Pelotas RS;;0;0;;0
736;215000;LARANJAL;Terreno Padrao;;Pelotas RS;;0;0;;0
1638;215000;FRAGATA;Apartamento;Rua 7 de Abril;Pelotas RS;2;0;0;63;0
2184;215000;TRES VENDAS;Apartamento;Nilo Pecanha;Pelotas RS;2;0;1;65;0
1765;215000;TRES VENDAS;Casa de Condominio;Endereco Nao Informado;Pelotas RS;2;2;1;65;0
2417;215000;CENTRO;Apartamento;Rua Gomes Carneiro;Pelotas RS;1;0;0;61;0
2540;215000;CENTRO;Apartamento;Rua Gomes Carneiro;Pelotas RS;1;0;0;30;0
2788;215000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;75;0
2805;215000;CENTRO;Apartamento;Rua Gal Teles;Pelotas RS;1;0;0;46;0
3485;215000;FRAGATA;Apartamento;Av Duque de Caxias;Pelotas RS;2;0;0;82;0
2834;215000;CENTRO;Terreno Padrao;Major Cicero;Pelotas RS;;0;0;;0
3274;215000;TRES VENDAS;Casa;;Pelotas RS;2;0;1;70;0
3928;215000;CENTRO;Apartamento;Jose do Patrocinio;Pelotas RS;2;0;1;;0
3572;215000;Vila Princesa;Casa;Endereco Nao Informado;Pelotas RS;2;0;0;70;0
3786;215000;AREAL;Terreno Padrao;Claudio Manoel da Costa;Pelotas RS;;0;0;;0
4472;215000;CENTRO;Apartamento;Rua Gal Teles;Pelotas RS;1;0;0;46;0
4114;215000;AREAL;Terreno Padrao;Claudio Manoel da Costa;Pelotas RS;;0;0;;0
4665;215000;CENTRO;Apartamento;Rua Gomes Carneiro;Pelotas RS;1;0;0;30;0
4525;215000;LARANJAL;Terreno Padrao;;Pelotas RS;;0;0;;0
4618;215000;LARANJAL;Terreno Padrao;;Pelotas RS;;0;0;;0
4944;215000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;75;0
4736;215000;AREAL;Casa;R Dr Jamil Abuchaem;Pelotas RS;2;0;2;130;0
4866;215000;LARANJAL;Terreno Padrao;;Pelotas RS;;0;0;;0
4924;215000;TRES VENDAS;Casa;;Pelotas RS;2;0;1;70;0
1500;213000;CENTRO;Apartamento;Rua Gal Teles;Pelotas RS;2;0;1;75;0
5106;215000;TRES VENDAS;Terreno Padrao;Avenida Dr Felix Antonio Caputo;Pelotas RS;;0;0;;0
